['2023-01-02', 40350.25]
['2023-05-03', 43291.78]
['2023-05-04', 43501.49]
['2023-05-05', 43484.14]
['2023-05-08', 43654.32]
['2023-05-09', 43441.72]
['2023-05-10', 43802.87]
['2023-05-11', 43661.41]
['2023-05-12', 43756.81]
['2023-05-15', 43800.6]
['2023-05-16', 43824.93]
['2023-05-17', 43650.0]
['2023-05-18', 43603.97]
['2023-05-19', 43474.01]
['2023-05-22', 43496.44]
['2023-05-23', 43518.17]
['2023-05-24', 43431.99]
['2023-05-25', 43389.31]
['2023-05-26', 43257.05]
['2023-05-29', 43162.56]
['2023-05-30', 42815.68]
['2023-05-31', 42900.4]
['2023-06-01', 43059.64]
['2023-06-02', 43135.31]
['2023-06-05', 43251.05]
['2023-06-06', 43163.68]
['2023-06-07', 43200.04]
['2023-06-08', 43311.5]
['2023-06-09', 43284.08]
['2023-06-12', 43460.3]
['2023-06-13', 43342.73]
['2023-06-14', 43369.01]
['2023-06-15', 43500.2]
['2023-06-16', 43499.66]
['2023-06-19', 43878.08]
2024-01-15,
['2023-06-20', 43840.22]
['2023-06-21', 43916.98]
['2023-06-22', 43843.63]
['2023-06-23', 43863.44]
['2023-06-26', 43977.3]
['2023-06-27', 44200.8]
['2023-07-03', 44955.97]
['2023-07-04', 45048.67]
['2023-07-05', 45106.6]
['2023-07-06', 45391.45]
['2023-07-07', 45375.02]
['2023-07-10', 45658.06]
['2023-07-11', 45666.73]
['2023-07-12', 46142.1]
['2023-07-13', 46149.88]
['2023-07-14', 46200.5]
['2023-07-17', 46487.05]
['2023-07-18', 46336.16]
['2023-07-20', 46404.65]
['2023-07-21', 46342.92]
['2023-07-24', 46629.51]
['2023-07-25', 46766.56]
['2023-07-26', 46545.62]
['2023-07-27', 46726.22]
['2023-07-28', 46693.66]
['2023-07-31', 46850.3]
['2023-08-01', 46911.4]
['2023-08-02', 46785.62]
['2023-08-03', 47202.23]
['2023-08-04', 46984.64]
['2023-08-07', 47334.1]
['2023-08-08', 47143.12]
['2023-08-09', 47314.05]
['2023-08-10', 47495.17]
['2023-08-11', 47561.73]
['2023-08-15', 47675.11]
['2023-08-16', 47651.42]
['2023-08-17', 47851.59]
['2023-08-18', 47756.52]
['2023-08-21', 47666.28]
['2023-08-22', 47943.15]
['2023-08-23', 48051.24]
['2023-08-24', 48000.86]
['2023-08-25', 47949.83]
['2023-08-28', 48055.34]
['2023-08-29', 48033.6]
['2023-08-30', 48244.37]
['2023-08-31', 48100.7]
['2023-09-01', 48186.11]
['2023-09-04', 48804.51]
['2023-09-05', 48697.14]
['2023-09-06', 48853.6]
['2023-09-07', 49156.69]
['2023-09-08', 49249.39]
['2023-09-11', 49744.78]
['2023-09-12', 49796.44]
['2023-09-13', 49870.25]
['2023-09-14', 50084.73]
['2023-09-15', 50200.4]
['2023-09-18', 50959.6]
['2023-09-19', 51023.46]
['2023-09-20', 51028.63]
['2023-09-21', 51245.86]
['2023-09-22', 51413.31]
['2023-09-25', 51935.9]
['2023-09-26', 52175.03]
['2023-09-28', 52612.58]
['2023-09-29', 52800.6]
['2023-10-02', 53259.54]
['2023-10-03', 53129.31]
['2023-10-04', 53372.82]
['2023-10-05', 53462.83]
['2023-10-06', 53541.8]
['2023-10-09', 53822.22]
['2023-10-10', 53743.59]
['2023-10-11', 54205.72]
['2023-10-12', 53968.57]
['2023-10-13', 54200.3]
['2023-10-16', 54562.79]
['2023-10-17', 54608.26]
['2023-10-18', 54722.06]
['2023-10-19', 54424.85]
['2023-10-20', 54679.59]
['2023-10-23', 55067.39]
['2023-10-24', 54740.58]
['2023-10-25', 55186.91]
['2023-10-26', 54943.83]
['2023-10-27', 54964.25]
['2023-10-30', 55537.42]
['2023-10-31', 55400.8]
['2023-11-01', 55677.44]
['2023-11-02', 55768.01]
['2023-11-03', 55676.32]
['2023-11-06', 56096.26]
['2023-11-07', 56329.76]
['2023-11-08', 56440.99]
['2023-11-10', 56891.94]
['2023-11-13', 57083.82]
['2023-11-14', 57295.91]
['2023-11-15', 57300.5]
['2023-11-16', 57488.09]
['2023-11-17', 57637.59]
['2023-11-20', 57858.83]
['2023-11-21', 58039.81]
['2023-11-22', 58241.86]
['2023-11-23', 58344.47]
['2023-11-24', 58087.09]
['2023-11-27', 58452.16]
['2023-11-28', 58636.87]
['2023-11-29', 58827.43]
['2023-11-30', 58900.2]
['2023-12-01', 59249.99]
['2023-12-04', 59557.02]
['2023-12-05', 59641.11]
['2023-12-06', 59839.02]
['2023-12-07', 59988.27]
['2023-12-08', 60510.54]
['2023-12-11', 60793.21]
['2023-12-12', 60921.69]
['2023-12-13', 60933.49]
['2023-12-14', 61418.98]
['2023-12-15', 61500.4]
['2023-12-18', 61591.05]
['2023-12-19', 62003.56]
['2023-12-20', 61725.37]
['2023-12-21', 61965.21]
['2023-12-22', 62018.36]
['2023-12-26', 62121.87]
['2023-12-27', 62416.28]
['2023-12-28', 62427.71]
['2023-12-29', 62450.5]
['2024-01-01', 62563.48]
['2024-01-02', 62800.3]
['2024-01-03', 63012.86]
['2024-01-04', 63094.79]
['2024-01-05', 62735.23]
['2024-01-08', 63249.62]
['2024-01-09', 63055.41]
['2024-01-10', 63012.88]
['2024-01-11', 63470.6]
['2024-01-12', 63569.88]
['2024-01-15', 63500.2]
['2024-01-16', 63191.36]
['2024-01-17', 63277.38]
['2024-01-18', 63296.86]
['2024-01-19', 63254.53]
['2024-01-22', 63061.38]
['2024-01-23', 62930.1]
['2024-01-24', 62728.73]
['2024-01-25', 62790.23]
['2024-01-26', 62386.71]
['2024-01-29', 62264.61]
['2024-01-30', 62409.92]
['2024-01-31', 62100.8]
['2024-02-01', 62241.29]
['2024-02-02', 62212.88]
['2024-02-06', 62280.64]
['2024-02-07', 62389.28]
['2024-02-08', 62739.81]
['2024-02-09', 62579.01]
['2024-02-12', 62639.14]
['2024-02-13', 62906.83]
['2024-02-14', 62694.54]
['2024-02-15', 62850.4]
['2024-02-16', 62783.45]
['2024-02-19', 63282.41]
['2024-02-20', 62969.21]
error
['2024-02-21', 63277.74]
['2024-02-22', 63085.5]
['2024-02-23', 63541.6]
['2024-02-26', 63654.37]
['2024-02-27', 63342.88]
['2024-02-28', 63576.51]
['2024-02-29', 63700.6]
['2024-03-01', 63736.4]
['2024-03-04', 64355.05]
['2024-03-05', 64415.53]
['2024-03-06', 64440.9]
['2024-03-07', 64186.3]
['2024-03-08', 64310.73]
['2024-03-12', 64723.31]
['2024-03-13', 65062.67]
['2024-03-14', 65058.4]
['2024-03-15', 65200.3]
['2024-03-18', 65685.27]
['2024-03-19', 65856.33]
['2024-03-20', 66000.54]
['2024-03-21', 66244.02]
['2024-03-22', 66541.44]
['2024-03-25', 66747.51]
['2024-03-26', 67163.73]
['2024-03-27', 67008.32]
['2024-03-28', 67400.5]
['2024-03-29', 67526.99]
['2024-04-01', 67733.04]
['2024-04-02', 68200.9]
['2024-04-03', 68424.41]
['2024-04-04', 68193.0]
['2024-04-05', 68326.77]
['2024-04-08', 68685.46]
['2024-04-09', 69054.02]
['2024-04-15', 69800.2]
['2024-04-16', 70032.23]
['2024-04-17', 69915.91]
['2024-04-18', 70150.16]
['2024-04-19', 70405.51]
['2024-04-22', 70690.42]
['2024-04-23', 70965.15]
['2024-04-24', 71058.97]
['2024-04-25', 70743.42]
['2024-04-26', 71034.97]
['2024-04-29', 71435.07]
['2024-04-30', 71500.7]
['2024-05-02', 71942.2]
['2024-05-03', 71898.76]
['2024-05-06', 72702.84]
['2024-05-07', 72935.57]
['2024-05-08', 72716.79]
['2024-05-09', 72852.94]
['2024-05-10', 73099.75]
['2024-05-13', 73875.29]
['2024-05-14', 73993.98]
['2024-05-15', 74200.4]
['2024-05-16', 74340.25]
['2024-05-17', 74323.66]
['2024-05-20', 74887.21]
['2024-05-21', 75307.61]
['2024-05-22', 75618.78]
['2024-05-23', 75367.01]
['2024-05-24', 75427.8]
['2024-05-27', 76431.49]
['2024-05-28', 76309.84]
['2024-05-29', 76522.62]
['2024-05-30', 76432.03]
['2024-05-31', 76800.3]
['2024-06-03', 77330.73]
['2024-06-04', 77163.97]
['2024-06-05', 77427.84]
['2024-06-06', 77790.53]
['2024-06-07', 77639.48]
['2024-06-10', 78184.21]
['2024-06-11', 78125.02]
['2024-06-12', 78435.82]
['2024-06-13', 78012.98]
['2024-06-14', 78400.6]
['2024-06-20', 78852.1]
['2024-06-21', 78840.4]
['2024-06-24', 79043.18]
['2024-06-25', 78772.26]
['2024-06-26', 78930.73]
['2024-06-27', 79183.62]
['2024-06-28', 79200.2]
['2024-07-01', 79583.49]
['2024-07-02', 79188.97]
['2024-07-03', 79435.53]
['2024-07-04', 79382.47]
['2024-07-05', 79499.76]
['2024-07-08', 80011.91]
['2024-07-09', 79609.3]
['2024-07-10', 80013.42]
['2024-07-11', 80110.93]
['2024-07-12', 79795.38]
['2024-07-15', 80100.5]
['2024-07-16', 80006.4]
['2024-07-17', 80229.76]
['2024-07-18', 80185.51]
['2024-07-19', 80502.22]
['2024-07-22', 80943.92]
['2024-07-23', 80927.84]
['2024-07-24', 80796.14]
['2024-07-25', 81076.78]
['2024-07-26', 81183.33]
['2024-07-29', 81185.27]
['2024-07-30', 81009.47]
['2024-07-31', 81300.8]
['2024-08-01', 81432.39]
['2024-08-02', 81246.63]
['2024-08-05', 81623.48]
['2024-08-06', 81470.66]
['2024-08-07', 81757.01]
['2024-08-08', 81884.38]
['2024-08-09', 81730.63]
['2024-08-12', 82092.83]
['2024-08-13', 81677.09]
['2024-08-15', 82000.4]
['2024-08-16', 81812.53]
['2024-08-19', 82040.91]
['2024-08-20', 82296.51]
['2024-08-21', 82743.7]
['2024-08-22', 82858.77]
['2024-08-23', 82845.89]
['2024-08-26', 82810.37]
['2024-08-27', 82820.47]
['2024-08-28', 82939.13]
['2024-08-29', 83267.01]
['2024-08-30', 83200.6]
['2024-09-02', 83527.74]
['2024-09-03', 83558.87]
['2024-09-04', 83650.21]
['2024-09-05', 84056.64]
['2024-09-06', 83993.97]
['2024-09-09', 84303.28]
['2024-09-10', 84071.69]
['2024-09-11', 84418.18]
['2024-09-12', 84457.33]
['2024-09-13', 84500.3]
['2024-09-16', 84788.65]
['2024-09-17', 84372.12]
['2024-09-18', 84970.13]
['2024-09-19', 84908.77]
['2024-09-20', 85046.68]
['2024-09-23', 85108.32]
['2024-09-24', 85320.58]
['2024-09-25', 85185.76]
['2024-09-26', 84841.51]
['2024-09-27', 84936.53]
['2024-09-30', 85300.7]
['2024-10-01', 85712.59]
['2024-10-02', 85770.33]
['2024-10-03', 85639.03]
['2024-10-04', 86188.31]
['2024-10-07', 86497.75]
['2024-10-08', 87218.61]
['2024-10-09', 87529.02]
['2024-10-10', 87357.91]
['2024-10-11', 87913.99]
['2024-10-14', 88224.34]
['2024-10-15', 88600.2]
['2024-10-16', 88794.5]
['2024-10-17', 89232.58]
['2024-10-18', 89531.99]
['2024-10-21', 90140.85]
['2024-10-22', 90318.99]
['2024-10-23', 90691.78]
['2024-10-24', 90695.96]
['2024-10-25', 90920.33]
['2024-10-28', 91593.36]
['2024-10-29', 91812.54]
['2024-10-30', 92151.88]
['2024-10-31', 92400.5]
['2024-11-01', 93038.38]
['2024-11-04', 93960.78]
['2024-11-05', 94329.64]
['2024-11-06', 94368.61]
['2024-11-07', 94791.59]
['2024-11-08', 95635.15]
['2024-11-11', 96261.6]
['2024-11-12', 96547.96]
['2024-11-13', 97279.66]
['2024-11-14', 97161.67]
['2024-11-15', 97800.3]
['2024-11-18', 98636.63]
['2024-11-19', 99685.51]
['2024-11-20', 99639.03]
['2024-11-21', 100283.55]
['2024-11-22', 100369.59]
['2024-11-25', 101498.42]
['2024-11-26', 101700.33]
['2024-11-27', 102612.84]
['2024-11-28', 102882.54]
['2024-11-29', 103200.8]
['2024-12-02', 104533.07]
['2024-12-03', 105247.08]
['2024-12-04', 105435.24]
['2024-12-05', 106280.43]
['2024-12-06', 106199.77]
['2024-12-09', 107770.23]
['2024-12-10', 108308.3]
['2024-12-11', 108398.82]
['2024-12-12', 109161.93]
['2024-12-13', 109500.4]
['2024-12-16', 110376.43]
['2024-12-17', 110854.98]
['2024-12-18', 111255.82]
['2024-12-19', 111633.82]
['2024-12-20', 111446.3]
['2024-12-23', 112863.79]
['2024-12-24', 113301.81]
['2024-12-26', 114061.46]
['2024-12-27', 113657.61]
['2024-12-30', 114673.75]
['2024-12-31', 115300.6]
['2025-01-01', 114638.61]
['2025-01-02', 113800.2]
['2025-01-03', 113746.2]
['2025-01-06', 114030.87]
['2025-01-07', 114111.9]
['2025-01-08', 114112.79]
['2025-01-09', 114764.91]
['2025-01-10', 114898.48]
['2025-01-13', 114920.96]
['2025-01-14', 115319.19]
['2025-01-15', 115200.5]
['2025-01-16', 115596.73]
['2025-01-17', 115351.08]
['2025-01-20', 115023.1]
['2025-01-21', 115147.12]
['2025-01-22', 115168.09]
['2025-01-23', 114421.45]
['2025-01-24', 114915.65]
['2025-01-27', 114999.09]
['2025-01-28', 114787.48]
['2025-01-29', 114507.49]
['2025-01-30', 114279.26]
['2025-01-31', 114500.3]
['2025-02-03', 114880.49]
['2025-02-04', 115165.35]
['2025-02-06', 115140.3]
['2025-02-07', 115348.84]
['2025-02-10', 116053.74]
['2025-02-11', 116351.58]
['2025-02-12', 116009.86]
['2025-02-13', 116609.59]
['2025-02-14', 116800.7]
['2025-02-17', 117289.84]
['2025-02-18', 117149.85]
['2025-02-19', 116516.65]
['2025-02-20', 117142.4]
['2025-02-21', 116618.83]
['2025-02-24', 116880.21]
['2025-02-25', 117164.26]
['2025-02-26', 117606.93]
['2025-02-27', 117517.06]
['2025-02-28', 117200.4]
['2025-03-03', 117662.17]
['2025-03-04', 117948.59]
['2025-03-05', 117795.22]
['2025-03-06', 117993.98]
['2025-03-07', 117581.7]
['2025-03-10', 117917.85]
['2025-03-11', 118122.19]
['2025-03-12', 118526.91]
['2025-03-13', 118015.69]
['2025-03-14', 118500.6]
['2025-03-17', 118457.15]
['2025-03-18', 118244.69]
['2025-03-19', 118775.07]
['2025-03-20', 119056.27]
['2025-03-21', 118958.23]
['2025-03-24', 118510.18]
['2025-03-25', 118709.73]
['2025-03-26', 118616.24]
['2025-03-27', 118627.46]
['2025-03-28', 119092.79]
['2025-04-02', 119338.59]
['2025-04-03', 119433.76]
['2025-04-04', 119680.47]
['2025-04-07', 120088.16]
['2025-04-08', 120070.39]
['2025-04-09', 120576.48]
['2025-04-10', 120644.19]
['2025-04-11', 120621.59]
['2025-04-14', 121111.21]
['2025-04-15', 120800.3]
['2025-04-16', 121098.26]
['2025-04-17', 121195.83]
['2025-04-18', 121386.88]
['2025-04-21', 121186.23]
['2025-04-22', 121487.2]
['2025-04-23', 121460.61]
['2025-04-24', 121589.65]
['2025-04-25', 121856.87]
['2025-04-28', 122157.63]
['2025-04-29', 122761.44]
['2025-04-30', 122400.5]
['2025-05-02', 122954.79]
['2025-05-05', 122638.19]
['2025-05-06', 122713.82]
['2025-05-07', 122816.34]
['2025-05-08', 122929.93]
['2025-05-09', 122926.43]
['2025-05-12', 123334.13]
['2025-05-13', 122817.61]
['2025-05-14', 123151.53]
['2025-05-15', 123100.2]
['2025-05-16', 123097.24]
['2025-05-19', 123369.25]
['2025-05-20', 123079.21]
['2025-05-21', 123846.38]
['2025-05-22', 123260.84]
['2025-05-23', 123372.54]
['2025-05-26', 124229.92]
['2025-05-27', 124116.08]
['2025-05-28', 124407.98]
['2025-05-29', 124320.89]
['2025-05-30', 124300.7]
['2025-06-02', 124038.42]
['2025-06-03', 124591.85]
['2025-06-04', 124763.21]
['2025-06-05', 124594.69]
['2025-06-09', 124801.24]
['2025-06-10', 125455.98]
['2025-06-11', 125166.52]
['2025-06-12', 124913.4]
['2025-06-13', 125200.4]
['2025-06-16', 125467.89]
['2025-06-17', 125724.61]
['2025-06-18', 125410.2]
['2025-06-19', 125301.49]
['2025-06-20', 125650.31]
['2025-06-23', 125873.49]
['2025-06-24', 126062.52]
['2025-06-25', 126469.16]
['2025-06-30', 126800.6]
['2025-07-01', 126891.51]
['2025-07-02', 126965.52]
['2025-07-03', 126970.2]
['2025-07-04', 127558.8]
['2025-07-07', 127479.03]
['2025-07-08', 128077.04]
['2025-07-09', 127723.73]
['2025-07-10', 128163.35]
['2025-07-11', 128457.87]
['2025-07-14', 127962.9]
['2025-07-15', 128500.3]
['2025-07-16', 128288.28]
['2025-07-17', 128433.39]
['2025-07-18', 128862.7]
['2025-07-21', 129566.51]
['2025-07-22', 129218.36]
['2025-07-23', 129401.1]
['2025-07-24', 130500.49]
['2025-07-25', 130609.4]
['2025-07-28', 130543.51]
['2025-07-29', 130796.12]
['2025-07-30', 131328.15]
['2025-07-31', 131200.8]
['2025-08-01', 131761.2]
['2025-08-04', 132650.7]
['2025-08-05', 132380.92]
['2025-08-06', 132452.56]
['2025-08-07', 133384.09]
['2025-08-08', 133054.21]
['2025-08-11', 133880.46]
['2025-08-12', 133896.84]
['2025-08-13', 134088.18]
['2025-08-15', 134800.5]
['2025-08-18', 135850.94]
['2025-08-19', 136246.31]
['2025-08-20', 136074.94]
2025-03-10,N/A
['2025-08-21', 135942.77]
['2025-08-22', 136385.09]
['2025-08-25', 136866.17]
['2025-08-26', 137119.3]
['2025-08-27', 138088.54]
['2025-08-28', 138376.6]
['2025-08-29', 138200.3]
['2025-09-01', 138385.31]
['2025-09-02', 139506.92]
['2025-09-03', 139893.57]
['2025-09-05', 140178.52]
['2025-09-08', 140312.48]
['2025-09-09', 141193.58]
['2025-09-10', 140769.13]
['2025-09-11', 140854.39]
['2025-09-12', 141500.7]
['2025-09-15', 141636.06]
['2025-09-16', 142265.1]
['2025-09-17', 142633.2]
['2025-09-18', 142038.85]
['2025-09-19', 142219.07]
['2025-09-22', 142965.62]
['2025-09-23', 143974.46]
['2025-09-24', 143137.89]
['2025-09-25', 143550.06]
['2025-09-26', 144577.31]
['2025-09-29', 145037.42]
['2025-09-30', 144800.4]
['2025-10-01', 144598.99]
['2025-10-02', 145637.04]
['2025-10-03', 145949.54]
['2025-10-06', 146002.54]
['2025-10-07', 147040.53]
['2025-10-08', 146461.92]
['2025-10-09', 147567.31]
['2025-10-10', 147139.34]
['2025-10-13', 147852.47]
['2025-10-14', 148284.15]
['2025-10-15', 148900.6]
['2025-10-16', 149357.48]
['2025-10-17', 149279.37]
['2025-10-20', 149748.45]
['2025-10-21', 150263.7]
['2025-10-22', 151285.23]
['2025-10-23', 150598.42]
['2025-10-24', 151382.81]
['2025-10-27', 151911.92]
['2025-10-28', 151859.61]
['2025-10-29', 152164.22]
['2025-10-30', 153218.18]
['2025-10-31', 153200.3]
['2025-11-03', 153849.07]
['2025-11-04', 154593.03]
['2025-11-05', 155023.69]
['2025-11-06', 155013.89]
['2025-11-07', 155904.92]
['2025-11-10', 157058.61]
['2025-11-11', 157186.88]
['2025-11-12', 157389.34]
['2025-11-13', 157684.95]
['2025-11-14', 157800.5]
['2025-11-17', 159052.47]
['2025-11-18', 159366.79]
['2025-11-19', 159580.59]
['2025-11-20', 159172.32]
['2025-11-21', 159579.68]
['2025-11-24', 159891.83]
['2025-11-25', 160209.31]
['2025-11-26', 160882.72]
['2025-11-27', 161585.16]
['2025-11-28', 161500.2]
['2025-12-01', 161823.65]
['2025-12-02', 162483.36]
['2025-12-03', 162865.7]
['2025-12-04', 163416.94]
['2025-12-05', 164064.42]
['2025-12-08', 164789.58]
['2025-12-09', 164264.86]
['2025-12-10', 165643.42]
['2025-12-11', 165015.75]
['2025-12-12', 165800.7]
['2025-12-15', 170719.0]
['2025-12-16', 170141.93]
['2025-12-17', 169999.82]
['2025-12-18', 170416.59]
['2025-12-19', 170165.83]
['2025-12-22', 170553.84]
['2025-12-23', 170213.35]
['2025-12-24', 169983.04]
['2025-12-26', 170330.54]
['2025-12-29', 170635.33]
['2025-12-30', 170857.02]
['2025-12-31', 170200.4]
['2026-01-01', 173715.47]
['2026-01-02', 178500.6]
['2026-01-05', 180582.2]
['2026-01-06', 180500.63]
['2026-01-07', 181362.16]
['2026-01-08', 182143.83]
['2026-01-09', 181633.02]
['2026-01-12', 183524.64]
['2026-01-13', 183828.71]
['2026-01-14', 184724.79]
['2026-01-15', 185200.3]
['2026-01-16', 185335.97]
2024-08-21,invalid_number
['2026-01-19', 188101.19]
['2026-01-20', 187744.1]
['2026-01-21', 187818.55]
['2026-01-22', 188847.87]
['2026-01-23', 189556.0]
['2026-01-26', 189631.28]
['2026-01-27', 190821.97]
['2026-01-28', 190991.48]
['2026-01-29', 190783.2]
['2026-01-30', 191032.73]
['2026-02-02', 188267.94]
['2026-02-03', 187462.89]
['2026-02-04', 187616.01]
['2026-02-06', 185759.53]
['2026-02-09', 182422.42]
['2026-02-10', 182203.06]
['2026-02-11', 180914.65]
['2026-02-12', 180270.57]
['2026-02-13', 179800.5]
['2026-02-16', 178330.29]
['2026-02-17', 176976.92]
['2026-02-18', 177270.32]
['2026-02-19', 176351.9]
['2026-02-20', 176657.64]
['2026-02-23', 174965.07]
['2026-02-24', 174211.62]
['2026-02-25', 172956.07]
['2026-02-26', 172286.05]
['2026-02-27', 172400.3]
['2026-03-02', 169990.21]
['2026-03-03', 169558.6]
['2026-03-04', 169180.82]
['2026-03-05', 169115.49]
['2026-03-06', 168783.42]
['2026-03-09', 165906.88]
['2026-03-10', 165499.25]
['2026-03-11', 164782.19]
['2026-03-12', 164383.2]
['2026-03-13', 164200.6]
['2026-03-16', 163107.76]
['2026-03-17', 163471.43]
['2026-03-18', 163426.68]
['2026-03-19', 162489.85]
['2026-03-24', 161772.34]
['2026-03-25', 161160.26]
['2026-03-26', 160675.8]
['2026-03-27', 161415.75]
['2026-03-30', 160085.89]
['2026-03-31', 159800.4]
['2026-04-01', 161022.2]
['2026-04-02', 161717.77]
['2026-04-03', 161503.15]
['2026-04-06', 163989.16]
['2026-04-07', 165331.15]
['2026-04-08', 166058.68]
['2026-04-09', 166336.66]
['2026-04-10', 167191.38]
['2026-04-13', 166704.34]
['2026-04-14', 167355.83]
['2026-04-15', 166620.92]
['2026-04-16', 167294.87]
['2026-04-17', 167263.99]
['2026-04-20', 166200.98]
['2026-04-21', 166784.55]
['2026-04-22', 166387.51]
['2026-04-23', 166456.84]
['2026-04-24', 165613.04]
['2026-04-27', 165412.52]
['2026-04-28', 166585.85]
['2026-04-29', 165245.88]
['2026-04-30', 165800.2]
['2026-05-04', 166113.4]
['2026-05-05', 166457.04]
['2026-05-06', 166388.22]
['2026-05-07', 166381.91]
['2026-05-08', 166586.03]
['2026-05-11', 167763.11]
['2026-05-12', 168077.01]
['2026-05-13', 167579.23]
['2026-05-14', 167759.98]
['2026-05-15', 168400.5]
['2026-05-18', 169411.76]
['2026-05-19', 169481.07]
['2026-05-20', 168833.36]
['2026-05-21', 168539.1]
['2026-05-22', 168837.29]
['2026-05-25', 168997.01]
['2026-05-29', 170100.3]
['2026-06-01', 169654.48]
['2026-06-02', 169762.23]
['2026-06-03', 169872.35]
['2026-06-04', 169916.9]
['2026-06-05', 170348.81]
['2026-06-08', 170489.34]
['2026-06-09', 169509.5]
['2026-06-10', 170035.42]
['2026-06-11', 169768.47]
['2026-06-12', 170551.4]
